Date and Time (UTC),Receiver,Description,Data
2019-06-02 6:33,VR2AR-547109,Temperature,4.6
2019-06-02 6:38,VR2AR-547109,Temperature,4.6
2019-06-02 6:43,VR2AR-547109,Temperature,4.6
2019-06-02 6:48,VR2AR-547109,Temperature,4.6
2019-06-02 6:53,VR2AR-547109,Temperature,4.6
2019-06-02 6:58,VR2AR-547109,Temperature,4.5
2019-06-02 7:02,VR2AR-547109,Temperature,4.5
2019-06-02 7:07,VR2AR-547109,Temperature,4.5
2019-06-02 7:12,VR2AR-547109,Temperature,4.5
2019-06-02 7:17,VR2AR-547109,Temperature,4.5
2019-06-02 7:22,VR2AR-547109,Temperature,4.5
2019-06-02 7:27,VR2AR-547109,Temperature,4.5
2019-06-02 7:32,VR2AR-547109,Temperature,4.5
2019-06-02 7:37,VR2AR-547109,Temperature,4.5
2019-06-02 7:42,VR2AR-547109,Temperature,4.5
2019-06-02 7:47,VR2AR-547109,Temperature,4.5
2019-06-02 7:52,VR2AR-547109,Temperature,4.5
2019-06-02 7:57,VR2AR-547109,Temperature,4.5
2019-06-02 8:01,VR2AR-547109,Temperature,4.5
2019-06-02 8:06,VR2AR-547109,Temperature,4.4
2019-06-02 8:11,VR2AR-547109,Temperature,4.5
2019-06-02 8:16,VR2AR-547109,Temperature,4.5
2019-06-02 8:21,VR2AR-547109,Temperature,4.4
2019-06-02 8:26,VR2AR-547109,Temperature,4.5
2019-06-02 8:31,VR2AR-547109,Temperature,4.5
2019-06-02 8:36,VR2AR-547109,Temperature,4.4
2019-06-02 8:41,VR2AR-547109,Temperature,4.4
2019-06-02 8:46,VR2AR-547109,Temperature,4.4
2019-06-02 8:51,VR2AR-547109,Temperature,4.4
2019-06-02 8:56,VR2AR-547109,Temperature,4.4
2019-06-02 9:05,VR2AR-547109,Temperature,4.3
2019-06-02 9:10,VR2AR-547109,Temperature,4.3
2019-06-02 9:15,VR2AR-547109,Temperature,4.3
2019-06-02 9:20,VR2AR-547109,Temperature,4.3
2019-06-02 9:25,VR2AR-547109,Temperature,4.3
2019-06-02 9:30,VR2AR-547109,Temperature,4.3
2019-06-02 9:35,VR2AR-547109,Temperature,4.3
2019-06-02 9:40,VR2AR-547109,Temperature,4.3
2019-06-02 9:45,VR2AR-547109,Temperature,4.2
2019-06-02 9:50,VR2AR-547109,Temperature,4.2
2019-06-02 9:55,VR2AR-547109,Temperature,4.2
2019-06-02 10:04,VR2AR-547109,Temperature,4.2
2019-06-02 10:09,VR2AR-547109,Temperature,4.2
2019-06-02 10:14,VR2AR-547109,Temperature,4.2
2019-06-02 10:19,VR2AR-547109,Temperature,4.2
2019-06-02 10:24,VR2AR-547109,Temperature,4.2
2019-06-02 10:29,VR2AR-547109,Temperature,4.2
2019-06-02 10:34,VR2AR-547109,Temperature,4.2
2019-06-02 10:39,VR2AR-547109,Temperature,4.2
2019-06-02 10:44,VR2AR-547109,Temperature,4.2
2019-06-02 10:49,VR2AR-547109,Temperature,4.2
2019-06-02 10:54,VR2AR-547109,Temperature,4.2
2019-06-02 10:59,VR2AR-547109,Temperature,4.1
2019-06-02 11:03,VR2AR-547109,Temperature,4.2
2019-06-02 11:08,VR2AR-547109,Temperature,4.2
2019-06-02 11:13,VR2AR-547109,Temperature,4.2
2019-06-02 11:18,VR2AR-547109,Temperature,4.2
2019-06-02 11:23,VR2AR-547109,Temperature,4.2
2019-06-02 11:28,VR2AR-547109,Temperature,4.2
2019-06-02 11:33,VR2AR-547109,Temperature,4.2
2019-06-02 11:38,VR2AR-547109,Temperature,4.2
2019-06-02 11:43,VR2AR-547109,Temperature,4.2
2019-06-02 11:48,VR2AR-547109,Temperature,4.2
2019-06-02 11:53,VR2AR-547109,Temperature,4.2
2019-06-02 11:58,VR2AR-547109,Temperature,4.2
2019-06-02 12:02,VR2AR-547109,Temperature,4.2
2019-06-02 12:07,VR2AR-547109,Temperature,4.2
2019-06-02 12:12,VR2AR-547109,Temperature,4.2
2019-06-02 12:17,VR2AR-547109,Temperature,4.2
2019-06-02 12:22,VR2AR-547109,Temperature,4.2
2019-06-02 12:27,VR2AR-547109,Temperature,4.2
2019-06-02 12:32,VR2AR-547109,Temperature,4.2
2019-06-02 12:37,VR2AR-547109,Temperature,4.2
2019-06-02 12:42,VR2AR-547109,Temperature,4.3
2019-06-02 12:47,VR2AR-547109,Temperature,4.3
2019-06-02 12:52,VR2AR-547109,Temperature,4.4
2019-06-02 12:57,VR2AR-547109,Temperature,4.4
2019-06-02 13:01,VR2AR-547109,Temperature,4.4
2019-06-02 13:06,VR2AR-547109,Temperature,4.5
2019-06-02 13:11,VR2AR-547109,Temperature,4.5
2019-06-02 13:16,VR2AR-547109,Temperature,4.5
2019-06-02 13:21,VR2AR-547109,Temperature,4.5
2019-06-02 13:26,VR2AR-547109,Temperature,4.6
2019-06-02 13:31,VR2AR-547109,Temperature,4.6
2019-06-02 13:36,VR2AR-547109,Temperature,4.6
2019-06-02 13:41,VR2AR-547109,Temperature,4.7
2019-06-02 13:46,VR2AR-547109,Temperature,4.7
2019-06-02 13:51,VR2AR-547109,Temperature,4.8
2019-06-02 13:56,VR2AR-547109,Temperature,4.8
2019-06-02 14:05,VR2AR-547109,Temperature,4.9
2019-06-02 14:10,VR2AR-547109,Temperature,5
2019-06-02 14:15,VR2AR-547109,Temperature,5
2019-06-02 14:20,VR2AR-547109,Temperature,4.9
2019-06-02 14:25,VR2AR-547109,Temperature,4.9
2019-06-02 14:30,VR2AR-547109,Temperature,4.9
2019-06-02 14:35,VR2AR-547109,Temperature,4.9
2019-06-02 14:40,VR2AR-547109,Temperature,4.9
2019-06-02 14:45,VR2AR-547109,Temperature,4.9
2019-06-02 14:50,VR2AR-547109,Temperature,4.9
2019-06-02 14:55,VR2AR-547109,Temperature,4.9
2019-06-02 15:04,VR2AR-547109,Temperature,4.8
